"source","target"
94868,120787
94899,59209
88624,132932
88968,60379
89117,107164
98205,152127
98277,93615
98281,99443
98295,127135
98551,125444
98721,125060
98754,128345
93483,109335
93698,106107
93792,96437
93846,115509
99328,83831
99384,133773
99551,151091
100006,136275
100074,97899
100216,96279
100238,129483
64198,124805
64678,103036
89451,107892
89575,98336
89824,108492
89893,104299
89926,127010
90106,74009
90210,102241
90221,117355
90362,95014
90423,121014
90679,123539
90711,127436
88737,87480
88774,105697
89154,93958
89618,121014
95296,77240
95330,98226
95426,127756
95480,152435
95746,135142
95972,127153
99148,108158
99331,125146
99503,92947
99535,97471
99577,110214
49787,102467
44454,91776
47087,153275
94027,130174
94083,
94189,103161
94650,110207
94671,120621
100137,123339
100289,125236
100302,128599
100443,95718
100446,96288
100530,91246
100567,109035
100769,119723
100808,151322
90785,123537
90791,122528
91197,86793
91233,120030
91286,97711
91521,96569
91560,135162
91569,86346
91760,110999
91773,73673
94750,154762
94820,68542
94896,105992
94999,124273
95181,120030
100365,124805
100393,85713
100534,138920
100584,126996
100620,77493
100629,88663
101214,130188
101303,126089
101408,132183
101642,77138
101841,45072
101938,129577
102165,85713
102268,85713
96229,90176
96256,150750
96528,151764
96566,121598
96709,101609
96940,59426
96964,91177
101154,98727
101167,91604
101239,89983
101341,92214
101361,125235
101828,72412
101847,95606
66680,85300
66697,28077
67263,91057
89888,92074
90095,130174
90189,128189
90287,97700
90434,60379
90489,93402
90567,114141
90574,78925
91436,125146
73116,55917
73515,74201
40526,87480
100145,114752
100212,94117
100262,93402
100738,152434
100916,45072
91942,97634
91955,119772
92096,100769
92172,93417
92445,110068
92503,112185
92637,83642
93087,90296
93118,87232
97133,92279
97248,86121
97316,98336
97393,114776
97417,132932
97500,114610
97773,123346
97982,137817
95677,95609
95779,102465
95828,89121
95852,114262
95867,124760
95991,123206
101959,110339
101993,126601
102444,150386
102593,124725
102718,113731
102800,105834
102827,125244
103063,114081
103128,136696
103138,74009
102422,69123
102423,138679
102560,107924
102898,130029
102910,154310
102971,91853
102974,135354
103115,108256
103125,154202
68077,100266
70301,133197
91449,124805
91580,93284
91981,106588
92099,105057
92229,152142
92279,96279
92298,103161
92374,69123
96395,110638
96760,117922
97081,88774
97140,108150
97557,112051
93235,91286
93269,103615
93655,117257
93808,93224
93855,153250
93958,79696
101315,99184
101349,81081
101351,124233
101404,153467
101679,99398
98208,99430
98323,100714
98391,106387
98744,140145
98903,98934
98981,100714
99184,153286
103296,121014
103449,132213
103527,135354
103726,72692
103782,93911
104039,137874
75701,130950
103234,130232
103461,72473
103478,97758
103565,121192
103613,96569
104010,74713
104074,140145
97801,91827
97868,105999
98181,115988
98278,86793
98336,124222
98409,98599
98463,103826
92516,90749
92884,85420
93195,124469
93402,111265
93490,128189
93746,92627
93867,130232
102097,96328
102101,114081
102238,94883
102241,109966
102438,98196
102472,97769
102538,105796
102585,127132
102868,107235
102962,140692
103052,132530
94316,134913
94591,127756
94724,110638
94778,85408
94813,123369
94878,129577
94885,109396
